X,Y
-169.952252,-18.97830315
-169.8663981,-18.94060394
-169.7776664,-18.97167685
-169.73625,-19.0538761
-169.7706529,-19.1377612
-169.8566037,-19.1754624
-169.9454142,-19.14430553
-169.9849707,-19.06257739
